Bitstream,NPB_File,UnixBench_File
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB32768_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_140551.txt,unixbench_20260214_142348.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB32_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_143842.txt,unixbench_20260214_145650.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB4096_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_151147.txt,unixbench_20260214_152946.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB512_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_154441.txt,unixbench_20260214_160240.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB64_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_161735.txt,unixbench_20260214_163541.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB8192_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_165037.txt,unixbench_20260214_170838.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB8_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_172332.txt,unixbench_20260214_174133.txt
ariane_IC4k_4w_128L_DC64k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,BOOT_TIMEOUT,BOOT_TIMEOUT
ariane_IC4k_4w_128L_DC8k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_181652.txt,unixbench_20260214_183415.txt
ariane_IC4k_8w_128L_DC4k_8w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_184855.txt,unixbench_20260214_190653.txt
ariane_IC64k_4w_128L_DC4k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,SHELL_FAIL,SHELL_FAIL
ariane_IC64k_4w_128L_DC64k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,BOOT_TIMEOUT,BOOT_TIMEOUT
ariane_IC8k_4w_128L_DC4k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_195915.txt,unixbench_20260214_201627.txt
ariane_IC8k_4w_128L_DC8k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_203059.txt,unixbench_20260214_204740.txt
ariane_IC16k_4w_128L_DC16k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_002547.txt,unixbench_20260215_004128.txt
ariane_IC16k_4w_128L_DC4k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_005540.txt,unixbench_20260215_011227.txt
ariane_IC2k_4w_128L_DC2k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_012733.txt,unixbench_20260215_014715.txt
ariane_IC2k_4w_128L_DC4k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_020235.txt,unixbench_20260215_022118.txt
ariane_IC4k_16w_128L_DC4k_16w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_023614.txt,unixbench_20260215_025416.txt
ariane_IC4k_1w_128L_DC4k_1w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_031034.txt,unixbench_20260215_033658.txt
ariane_IC4k_2w_128L_DC4k_2w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_035309.txt,unixbench_20260215_041138.txt
ariane_IC4k_4w_128L_DC16k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_042641.txt,unixbench_20260215_044331.txt
ariane_IC4k_4w_128L_DC2k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_045817.txt,unixbench_20260215_051715.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB1024_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_053219.txt,unixbench_20260215_055020.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB128_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_060515.txt,unixbench_20260215_062310.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16384_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_063805.txt,unixbench_20260215_065600.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT1024_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_071053.txt,unixbench_20260215_072823.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT128_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_074306.txt,unixbench_20260215_080050.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT16384_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_081545.txt,unixbench_20260215_083314.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_084756.txt,unixbench_20260215_090556.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT2048_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_092048.txt,unixbench_20260215_093822.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT256_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_095315.txt,unixbench_20260215_101051.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT32_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_102539.txt,unixbench_20260215_104329.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT4096_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_105826.txt,unixbench_20260215_111553.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT512_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_113040.txt,unixbench_20260215_114816.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT64_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_120312.txt,unixbench_20260215_122100.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT8192_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_123551.txt,unixbench_20260215_125313.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB2048_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_130754.txt,unixbench_20260215_132554.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB256_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_134054.txt,unixbench_20260215_135848.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB32768_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_141344.txt,unixbench_20260215_143142.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB32_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_144635.txt,unixbench_20260215_150432.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB4096_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_151928.txt,unixbench_20260215_153724.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB512_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_155226.txt,unixbench_20260215_161029.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB64_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_162523.txt,unixbench_20260215_164330.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB8192_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_165827.txt,unixbench_20260215_171622.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB8_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_173115.txt,unixbench_20260215_174911.txt
ariane_IC4k_4w_128L_DC8k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_180401.txt,unixbench_20260215_182130.txt
ariane_IC4k_8w_128L_DC4k_8w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_183611.txt,unixbench_20260215_185408.txt
ariane_IC8k_4w_128L_DC4k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_190856.txt,unixbench_20260215_192607.txt
ariane_IC8k_4w_128L_DC8k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260215_194040.txt,unixbench_20260215_195721.txt
